Insercao Direta,random,1000,252938,253925,0.000552
Insercao Direta,random,5000,6357800,6362785,0.015561
Insercao Direta,random,10000,24935413,24945392,0.070853
Insercao Direta,random,50000,622436061,622486042,1.555103
Insercao Direta,random,100000,2494563070,2494663039,6.988204
Insercao Binaria,random,1000,8590,246814,0.000551
Insercao Binaria,random,5000,54531,6205035,0.014748
Insercao Binaria,random,10000,118991,24917324,0.062131
Insercao Binaria,random,50000,711307,626411467,1.949056
Insercao Binaria,random,100000,1522780,2505675285,6.418088
Selecao,random,1000,499500,2961,0.001117
Selecao,random,5000,12497500,14979,0.040764
Selecao,random,10000,49995000,29976,0.112300
Selecao,random,50000,1249975000,149964,3.320104
Selecao,random,100000,4999950000,299970,12.352968
Bubblesort,random,1000,499122,756612,0.002688
Bubblesort,random,5000,12496870,18746331,0.088395
Bubblesort,random,10000,49994180,75341238,0.338733
Bubblesort,random,50000,1249960635,1874382870,10.432859
Bubblesort,random,100000,4999784975,7518348204,42.106606
Heapsort,random,1000,16836,27120,0.000128
Heapsort,random,5000,107677,171351,0.000793
Heapsort,random,10000,235305,372639,0.001718
Heapsort,random,50000,1409953,2212185,0.010484
Heapsort,random,100000,3019938,4724958,0.022715
Fusao,random,1000,8722,19952,0.001777
Fusao,random,5000,55205,123616,0.008904
Fusao,random,10000,120405,267232,0.018408
Fusao,random,50000,718122,1568928,0.106899
Fusao,random,100000,1536434,3337856,0.236356
Quicksort,random,1000,6248,10779,0.000201
Quicksort,random,5000,42658,61668,0.001144
Quicksort,random,10000,85983,130968,0.001346
Quicksort,random,50000,518337,738765,0.006586
Quicksort,random,100000,1100812,1548606,0.013322
